State,Indian, Bangladeshi, Bhutanese,Burmese,Cambodian,Chinese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri_Lankan,Taiwanese,Thai,Vietnamese
Alabama,11823,784,0,64,769,12843,5873,6,41,2378,11630,1497,117,0,434,21,1538,279,279,1783,9243
Alaska,849,361,282,3,113,2071,25855,3979,43,1526,4849,1154,73,44,115,0,129,28,63,1728,1208
Arizona,51370,1522,281,2814,2586,39821,39921,225,0,9938,14903,2463,366,225,1692,11,2379,391,1327,3847,29256
Arkansas,10143,464,0,231,413,6991,4211,1223,136,1134,2471,4626,96,61,134,9,1671,77,213,1059,5826
California,712532,10748,399,16620,94746,1418254,1275057,94454,29716,276302,466313,67331,4097,5531,12384,218,59744,11679,68567,52915,642758
Colorado,27931,243,574,2672,2493,31418,15463,4446,1175,11113,20757,2612,312,1357,4398,0,1878,169,1067,4292,24222
Connecticut,57571,2875,21,846,2712,36704,12930,94,384,3820,10284,3063,182,23,1109,0,6369,865,1130,1075,9523
Delaware,15455,191,0,47,239,8694,3986,45,121,510,2370,177,0,0,109,0,1677,88,195,345,1486
District of Columbia,6190,162,0,105,176,6644,3027,0,166,1285,2794,5,88,10,491,18,831,271,301,198,2000
Florida,153968,5369,199,4805,6741,93745,99641,1279,2352,14570,28712,5946,614,370,1199,137,18572,1872,3412,13656,71823
Georgia,130763,3297,2057,5289,4183,55292,21832,3583,2475,8943,54951,6165,252,125,3466,0,13665,881,2855,4651,54116
Hawaii,2750,0,0,162,401,56523,211189,47,537,178444,23925,1855,31,110,336,2138,68,198,658,2067,11480
Idaho,2764,30,38,550,59,5490,3982,136,212,2801,1559,761,51,37,500,14,300,0,241,449,1491
Illinois,231720,2441,634,4042,3947,123982,122010,759,1263,17994,59372,6005,716,2799,3316,27,32650,1030,4811,7847,27506
Indiana,38170,464,0,10700,886,32224,14257,384,499,5320,10785,1039,525,221,520,10,4374,152,684,2642,8189
Iowa,13759,370,284,5972,768,13718,4659,992,178,1500,6818,5284,402,31,1159,0,744,170,455,1917,9620
Kansas,17574,969,125,2162,1547,12512,5809,1865,277,2124,5581,4756,196,128,1497,18,1958,448,613,2165,15536
Kentucky,14208,124,591,2768,1461,9315,6205,34,295,4043,5060,857,27,46,3215,0,1479,182,288,1528,6065
Louisiana,11679,241,0,321,535,11612,7721,134,693,1517,3917,1825,86,105,684,0,2118,473,399,1107,33261
Maine,2151,20,0,65,1608,3836,2015,0,119,514,1073,26,0,16,261,0,170,15,180,365,1636
Maryland,94054,3810,402,6268,2996,80033,49379,128,2214,7572,50218,1116,395,236,6360,0,20680,3600,3768,4652,25926
Massachusetts,98190,3203,676,816,29330,154498,13540,636,1553,10732,24617,3724,564,140,6211,0,7670,1503,4643,3288,47472
Michigan,102735,10409,742,3249,1206,55011,25459,5888,712,11937,25795,3076,733,48,2287,18,10862,1310,2693,2102,15740
Minnesota,42099,726,485,11533,8400,29250,10921,75565,606,4250,16352,10486,358,94,2203,0,2710,477,1064,2750,27870
Mississippi,6180,230,0,23,333,4854,4227,39,129,1211,1984,343,0,0,382,20,447,122,91,505,7056
Missouri,27111,608,315,1403,1388,24568,12606,1454,448,3261,9803,735,107,289,1696,39,4834,300,1122,2002,15686
Montana,319,13,0,0,55,1748,1611,7,81,872,1310,131,144,61,147,0,53,26,27,322,389
Nebraska,7699,122,491,4795,53,6354,2616,282,113,1785,3013,1041,158,8,2200,24,319,189,86,1183,8378
Nevada,13252,1062,127,852,1475,33603,121410,197,667,10824,14867,2472,118,95,694,21,1420,773,1042,6639,11935
New Hampshire,10015,140,507,25,957,6924,2747,23,1071,866,2440,442,59,35,1924,0,788,37,318,669,2231
New Jersey,369590,11921,16,636,1646,151044,115958,133,1876,13245,96644,848,456,174,1587,16,29417,2207,7032,3062,22594
New Mexico,4091,120,0,0,164,6017,6092,60,75,2210,2257,552,41,0,323,0,714,116,152,1060,4646
New York,372309,73032,2290,15164,5243,691598,115857,205,4750,37834,129987,3451,2683,606,13515,40,82631,6367,15233,11843,30544
North Carolina,85074,995,773,5643,4038,43614,21695,12141,857,6521,19542,6802,571,160,5382,111,6794,824,1795,3098,34037
North Dakota,1559,77,594,0,42,1925,2205,34,22,356,544,117,0,4,785,0,188,214,16,209,684
Ohio,78583,1217,4732,1688,5375,52988,17149,615,1340,10140,15792,4050,524,121,8813,24,5079,1241,2535,2646,15226
Oklahoma,14046,660,0,3369,723,11100,6593,3569,290,2410,6247,1665,330,49,1076,0,2216,323,391,1165,20631
Oregon,22870,658,437,1568,4372,37402,18488,2919,1042,13604,15203,4817,109,149,994,42,912,309,1450,2937,29413
Pennsylvania,125202,4543,2166,1725,13823,106291,26848,423,2681,6919,41255,2697,651,504,8136,0,12024,1344,2510,2753,42161
Rhode Island,6826,229,95,318,5616,8783,2662,502,27,872,1716,2451,29,9,464,0,762,40,427,422,2121
South Carolina,16893,264,257,1192,1933,15044,11652,1798,139,2091,6210,1334,27,0,124,9,1151,162,483,1535,7318
South Dakota,1233,43,468,2152,117,1851,1340,18,72,281,1084,601,3,5,228,0,124,43,15,453,872
Tennessee,28740,324,61,2064,1770,18658,11982,544,484,5219,10913,6700,430,41,1808,0,2629,193,917,1719,11768
Texas,358002,9874,1421,16331,15100,188957,128030,1154,4834,20807,71772,14124,1558,55,16725,21,71926,4374,12908,14024,253149
Utah,9046,271,652,1481,2182,14384,7157,106,169,6396,5894,3031,161,284,1678,57,674,103,677,1603,8578
Vermont,1640,0,722,30,115,2462,694,0,40,364,947,116,18,5,1288,0,52,0,71,128,824
Virginia,131199,8289,1619,1611,8236,72127,72676,229,1692,12147,72115,3143,832,2333,8405,0,34656,1695,3174,8391,59838
Washington,96379,894,1379,3039,21511,118470,99712,1720,4100,37787,63833,8872,660,876,3201,90,5225,799,6768,6912,73209
West Virginia,3811,108,0,10,0,3119,2610,21,81,650,1036,94,19,0,238,10,303,94,83,252,1114
Wisconsin,30062,362,63,2746,939,22744,8770,55792,314,2685,8439,3577,360,194,1033,2,2803,315,627,1383,5334
Wyoming,468,28,0,0,55,1091,1462,28,114,473,430,6,4,16,66,0,93,6,28,229,344
Puerto Rico,4630,0,9,0,0,1757,117,0,428,120,79,0,0,0,4,0,0,0,32,0,367
